source_type,target_type,object_class,permissions,violation_class
mysqld_t,cron_spool_t,dir,"read,write",9
named_t,backup_store_t,dir,"read,write",9
postfix_t,ntp_conf_t,file,"read,write",9
httpd_t,ftp_port_t,tcp_socket,"name_connect",10
staff_t,mysql_port_t,tcp_socket,"name_connect",10
ftpd_t,http_port_t,tcp_socket,"name_connect",10
mysqld_t,smtp_port_t,tcp_socket,"name_connect",10
named_t,ssh_port_t,tcp_socket,"name_connect",10
postfix_t,dns_port_t,udp_socket,"name_connect",10
sshd_t,ntp_port_t,udp_socket,"name_connect",10
user_t,mysql_port_t,tcp_socket,"name_connect",10
staff_t,smtp_port_t,tcp_socket,"name_connect",10
sysadm_t,ftp_port_t,tcp_socket,"name_connect",10
user_t,user_home_t,dir,"read,write,search",0
staff_t,staff_home_t,dir,"read,write,search",0
sysadm_t,admin_home_t,dir,"read,write,search",0
httpd_t,httpd_config_t,file,"read,getattr",0
ftpd_t,ftpd_config_t,file,"read,getattr",0
mysqld_t,mysqld_db_t,dir,"read,write,add_name,remove_name",0
named_t,named_zone_t,file,"read,write",0
postfix_t,postfix_config_t,file,"read,getattr",0
sshd_t,sshd_key_t,file,"read",0
cron_t,cron_spool_t,dir,"read,write,add_name,remove_name",0
logrotate_t,var_log_t,file,"read,write,create,unlink",0
ntp_t,ntp_conf_t,file,"read",0
rsync_t,backup_store_t,dir,"read,write,add_name,remove_name",0
audit_t,audit_log_t,file,"append",0
udev_t,dev_t,dir,"read,write,add_name,remove_name",0
dpkg_t,dpkg_db_t,file,"read,write,create,unlink",0
rpm_t,rpm_db_t,file,"read,write,create,unlink",0
networkmanager_t,networkmanager_conf_t,file,"read,getattr",0
cups_t,cups_config_t,file,"read,getattr",0
avahi_t,avahi_conf_t,file,"read,getattr",0
bluetooth_t,bluetooth_conf_t,file,"read,getattr",0
dbus_t,dbus_conf_t,file,"read,getattr",0
dhcpc_t,dhcpc_state_t,file,"read,write,create,unlink",0
gdm_t,gdm_conf_t,file,"read,getattr",0
iptables_t,iptables_conf_t,file,"read,getattr",0
kerberos_t,kerberos_keytab_t,file,"read",0
ldap_t,ldap_db_t,dir,"read,write,add_name,remove_name",0
openvpn_t,openvpn_config_t,file,"read,getattr",0
pulseaudio_t,pulseaudio_home_t,dir,"read,write,search",0
rpc_t,rpc_pipefs_t,dir,"read,write,add_name,remove_name",0
samba_t,samba_share_t,dir,"read,write,add_name,remove_name",0
snmp_t,snmp_var_lib_t,dir,"read,write,add_name,remove_name",0
squid_t,squid_cache_t,dir,"read,write,add_name,remove_name",0
syslog_t,syslog_conf_t,file,"read,getattr",0
tcpd_t,tcpd_var_run_t,file,"read,write,create,unlink",0
xserver_t,xserver_log_t,file,"read,write,append",0
httpd_t,http_port_t,tcp_socket,"name_bind,accept,listen",0
ftpd_t,ftp_port_t,tcp_socket,"name_bind,accept,listen",0
mysqld_t,mysql_port_t,tcp_socket,"name_bind,accept,listen",0
named_t,dns_port_t,udp_socket,"name_bind",0
postfix_t,smtp_port_t,tcp_socket,"name_bind,accept,listen",0
sshd_t,ssh_port_t,tcp_socket,"name_bind,accept,listen",0
ntp_t,ntp_port_t,udp_socket,"name_bind",0
dhcpc_t,dhcpc_port_t,udp_socket,"name_bind",0
ldap_t,ldap_port_t,tcp_socket,"name_bind,accept,listen",0
kerberos_t,kerberos_port_t,tcp_socket,"name_bind,accept,listen",0
samba_t,samba_port_t,tcp_socket,"name_bind,accept,listen",0
snmp_t,snmp_port_t,udp_socket,"name_bind",0
squid_t,squid_port_t,tcp_socket,"name_bind,accept,listen",0
openvpn_t,openvpn_port_t,udp_socket,"name_bind",0
xserver_t,xserver_port_t,tcp_socket,"name_bind,accept,listen",0
user_t,tty_device_t,chr_file,"read,write",0
staff_t,null_device_t,chr_file,"read,write",0
sysadm_t,zero_device_t,chr_file,"read,write",0
httpd_t,random_device_t,chr_file,"read",0
mysqld_t,urandom_device_t,chr_file,"read",0
kvm_t,kvm_device_t,chr_file,"read,write",0
pulseaudio_t,sound_device_t,chr_file,"read,write",0
udev_t,usb_device_t,chr_file,"read,write",0
xserver_t,video_device_t,chr_file,"read,write",0
networkmanager_t,netcontrol_device_t,chr_file,"read,write",0
user_t,proc_fs_t,filesystem,"getattr",0
staff_t,sysfs_t,filesystem,"read",0
sysadm_t,selinuxfs_t,filesystem,"getattr,mount",0
system_t,tmpfs_t,filesystem,"mount,unmount",0
init_t,devpts_fs_t,filesystem,"mount",0
kernel_t,debugfs_t,filesystem,"mount",0
sysadm_t,binfmt_misc_fs_t,filesystem,"mount",0
init_t,cgroup_fs_t,filesystem,"mount",0
system_t,mqueue_fs_t,filesystem,"mount",0
kernel_t,hugetlbfs_t,filesystem,"mount",0
nfsd_t,nfsd_fs_t,filesystem,"mount",0
user_t,shadow_t,file,"read,write",1
staff_t,passwd_file_t,file,"read,write",1
sysadm_t,audit_log_t,file,"read,write,append",1
httpd_t,httpd_content_t,file,"read,write,append,create,unlink",1
ftpd_t,ftpd_config_t,file,"read,write,append",1
mysqld_t,mysqld_db_t,file,"read,write,append,create,unlink",1
named_t,named_zone_t,file,"read,write,append,create,unlink",1
postfix_t,postfix_config_t,file,"read,write,append",1
sshd_t,sshd_key_t,file,"read,write",1
cron_t,cron_spool_t,file,"read,write,append,create,unlink",1
logrotate_t,var_log_t,file,"read,write,append,create,unlink",1
ntp_t,ntp_conf_t,file,"read,write",1
rsync_t,backup_store_t,file,"read,write,append,create,unlink",1
dpkg_t,dpkg_db_t,file,"read,write,append,create,unlink",1
rpm_t,rpm_db_t,file,"read,write,append,create,unlink",1
networkmanager_t,networkmanager_conf_t,file,"read,write,append",1
cups_t,cups_config_t,file,"read,write,append",1
avahi_t,avahi_conf_t,file,"read,write,append",1
bluetooth_t,bluetooth_conf_t,file,"read,write,append",1
dbus_t,dbus_conf_t,file,"read,write,append",1
httpd_t,httpd_content_t,file,"read,write,append,create,unlink,ioctl,lock",2
ftpd_t,user_home_t,dir,"read,write,search,add_name,remove_name,reparent,rmdir",2
mysqld_t,etc_t,file,"read,write,append,create,unlink,ioctl,lock",2
named_t,var_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
postfix_t,tmp_t,file,"read,write,append,create,unlink,ioctl,lock,execute",2
sshd_t,user_home_t,dir,"read,write,search,add_name,remove_name,reparent,rmdir,ioctl",2
cron_t,var_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
logrotate_t,etc_t,file,"read,write,append,create,unlink,ioctl,lock,execute",2
ntp_t,var_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
rsync_t,user_home_t,dir,"read,write,search,add_name,remove_name,reparent,rmdir,ioctl",2
dpkg_t,usr_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
rpm_t,usr_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
networkmanager_t,proc_t,file,"read,write,append,create,unlink,ioctl,lock,execute",2
cups_t,dev_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
sysadm_t,user_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
httpd_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
ftpd_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
mysqld_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
named_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
postfix_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
sshd_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
cron_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
logrotate_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
ntp_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
user_t,selinux_config_t,file,"write,append,create,unlink",4
sysadm_t,selinux_config_t,file,"write,append,create,unlink",4
httpd_t,etc_t,file,"write,append,create,unlink",4
ftpd_t,etc_t,file,"write,append,create,unlink",4
mysqld_t,etc_t,file,"write,append,create,unlink",4
named_t,etc_t,file,"write,append,create,unlink",4
postfix_t,etc_t,file,"write,append,create,unlink",4
sshd_t,etc_t,file,"write,append,create,unlink",4
cron_t,etc_t,file,"write,append,create,unlink",4
logrotate_t,selinux_config_t,file,"write,append,create,unlink",4
httpd_t,http_port_t,tcp_socket,"name_connect",5
httpd_t,http_port_t,tcp_socket,"bind",5
ftpd_t,ftp_port_t,tcp_socket,"name_connect",5
ftpd_t,ftp_port_t,tcp_socket,"bind",5
mysqld_t,mysql_port_t,tcp_socket,"name_connect",5
mysqld_t,mysql_port_t,tcp_socket,"bind",5
named_t,dns_port_t,udp_socket,"name_connect",5
named_t,dns_port_t,udp_socket,"bind",5
postfix_t,smtp_port_t,tcp_socket,"name_connect",5
postfix_t,smtp_port_t,tcp_socket,"bind",5
ftpd_t,ftp_port_t,tcp_socket,bind,6
mysqld_t,mysql_port_t,tcp_socket,bind,6
named_t,dns_port_t,udp_socket,bind,6
postfix_t,smtp_port_t,tcp_socket,bind,6
sshd_t,ssh_port_t,tcp_socket,bind,6
ntp_t,ntp_port_t,udp_socket,bind,6
mysqld_t,httpd_content_t,dir,"read,write",7
named_t,ftpd_config_t,file,"read,write",7
postfix_t,mysqld_db_t,dir,"read,write",7
sshd_t,named_zone_t,file,"read,write",7
cron_t,httpd_config_t,file,"read,write",7
logrotate_t,ftpd_config_t,file,"read,write",7
ntp_t,postfix_config_t,file,"read,write",7
rsync_t,sshd_key_t,file,"read,write",7
init_t,httpd_t,process,"transition",8
init_t,ftpd_t,process,"transition",8
init_t,mysqld_t,process,"transition",8
init_t,named_t,process,"transition",8
init_t,postfix_t,process,"transition",8
httpd_t,var_t,file,"read,write",8
ftpd_t,var_t,file,"read,write",8
mysqld_t,var_t,file,"read,write",8
named_t,var_t,file,"read,write",8
postfix_t,var_t,file,"read,write",8
user_t,sysfs_t,filesystem,"mount",9
staff_t,proc_fs_t,filesystem,"mount",9
sysadm_t,tmpfs_t,filesystem,"mount",9
httpd_t,var_log_t,file,"append",9
ftpd_t,audit_log_t,file,"read",9
mysqld_t,cron_spool_t,dir,"read,write",9
named_t,backup_store_t,dir,"read,write",9
postfix_t,ntp_conf_t,file,"read,write",9
httpd_t,ftp_port_t,tcp_socket,"name_connect",10
staff_t,mysql_port_t,tcp_socket,"name_connect",10
ftpd_t,http_port_t,tcp_socket,"name_connect",10
mysqld_t,smtp_port_t,tcp_socket,"name_connect",10
named_t,ssh_port_t,tcp_socket,"name_connect",10
postfix_t,dns_port_t,udp_socket,"name_connect",10
sshd_t,ntp_port_t,udp_socket,"name_connect",10
user_t,mysql_port_t,tcp_socket,"name_connect",10
staff_t,smtp_port_t,tcp_socket,"name_connect",10
sysadm_t,ftp_port_t,tcp_socket,"name_connect",10
avahi_t,avahi_var_lib_t,dir,"read,write,add_name,remove_name",0
bluetooth_t,bluetooth_var_lib_t,dir,"read,write,add_name,remove_name",0
cups_t,cups_var_run_t,file,"read,write,create,unlink",0
dbus_t,system_dbusd_var_run_t,file,"read,write,create,unlink",0
dhcpc_t,dhcpc_state_t,file,"read,write,create,unlink",0
gdm_t,xdm_var_run_t,file,"read,write,create,unlink",0
iptables_t,iptables_var_run_t,file,"read,write,create,unlink",0
kerberos_t,krb5_keytab_t,file,"read",0
ldap_t,ldap_var_run_t,file,"read,write,create,unlink",0
openvpn_t,openvpn_etc_t,file,"read",0
pulseaudio_t,pulseaudio_tmpfs_t,file,"read,write,create,unlink",0
rpc_t,var_lib_nfs_t,dir,"read,write,add_name,remove_name",0
samba_t,samba_var_t,dir,"read,write,add_name,remove_name",0
snmp_t,snmpd_var_lib_t,dir,"read,write,add_name,remove_name",0
squid_t,squid_cache_t,dir,"read,write,add_name,remove_name",0
syslog_t,var_log_t,file,"read,write,create,unlink,append",0
tcpd_t,tcpd_var_run_t,file,"read,write,create,unlink",0
xserver_t,xdm_tmp_t,file,"read,write,create,unlink",0
networkmanager_t,net_conf_t,file,"read,getattr",0
rpm_t,rpm_var_lib_t,dir,"read,write,add_name,remove_name",0
avahi_t,avahi_port_t,udp_socket,"name_bind",0
bluetooth_t,bluetooth_port_t,udp_socket,"name_bind",0
cups_t,ipp_port_t,tcp_socket,"name_bind,accept,listen",0
dbus_t,system_dbusd_t,unix_stream_socket,"create,connect,bind,accept,listen",0
dhcpc_t,bootpc_port_t,udp_socket,"name_bind",0
gdm_t,xdm_port_t,tcp_socket,"name_bind,accept,listen",0
kerberos_t,kerberos_port_t,tcp_socket,"name_bind,accept,listen",0
ldap_t,ldap_port_t,tcp_socket,"name_bind,accept,listen",0
openvpn_t,openvpn_port_t,udp_socket,"name_bind",0
pulseaudio_t,pulseaudio_port_t,tcp_socket,"name_bind,accept,listen",0
rpc_t,sunrpc_port_t,tcp_socket,"name_bind,accept,listen",0
samba_t,samba_port_t,tcp_socket,"name_bind,accept,listen",0
snmp_t,snmp_port_t,udp_socket,"name_bind",0
squid_t,squid_port_t,tcp_socket,"name_bind,accept,listen",0
syslog_t,syslogd_port_t,udp_socket,"name_bind",0
tcpd_t,tcpd_port_t,tcp_socket,"name_bind,accept,listen",0
xserver_t,xserver_port_t,tcp_socket,"name_bind,accept,listen",0
networkmanager_t,netcontrol_port_t,udp_socket,"name_bind",0
avahi_t,avahi_conf_t,file,"read,write",1
bluetooth_t,bluetooth_conf_t,file,"read,write",1
cups_t,cups_conf_t,file,"read,write",1
dbus_t,dbus_conf_t,file,"read,write",1
dhcpc_t,dhcp_etc_t,file,"read,write",1
gdm_t,gdm_conf_t,file,"read,write",1
iptables_t,iptables_conf_t,file,"read,write",1
kerberos_t,krb5_conf_t,file,"read,write",1
ldap_t,slapd_conf_t,file,"read,write",1
openvpn_t,openvpn_etc_t,file,"read,write",1
pulseaudio_t,alsa_conf_t,file,"read,write",1
rpc_t,exports_t,file,"read,write",1
samba_t,samba_etc_t,file,"read,write",1
snmp_t,snmpd_conf_t,file,"read,write",1
squid_t,squid_conf_t,file,"read,write",1
syslog_t,syslog_conf_t,file,"read,write",1
tcpd_t,hosts_access_t,file,"read,write",1
xserver_t,xdm_xserver_t,file,"read,write",1
networkmanager_t,net_conf_t,file,"read,write",1
rpm_t,rpm_conf_t,file,"read,write",1
avahi_t,etc_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
bluetooth_t,var_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
cups_t,tmp_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
dbus_t,usr_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
dhcpc_t,home_root_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
gdm_t,etc_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
iptables_t,var_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
kerberos_t,tmp_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
ldap_t,usr_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
openvpn_t,home_root_t,dir,"read,write,add_name,remove_name,reparent,rmdir,ioctl,lock",2
avahi_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
bluetooth_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
cups_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
dbus_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
dhcpc_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
gdm_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
iptables_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
kerberos_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
ldap_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
openvpn_t,sysadm_t,process,"transition,dyntransition,setcurrent,execmem,execstack,execheap",3
avahi_t,etc_t,file,"write,append,create,unlink",4
bluetooth_t,etc_t,file,"write,append,create,unlink",4
cups_t,etc_t,file,"write,append,create,unlink",4
dbus_t,etc_t,file,"write,append,create,unlink",4
dhcpc_t,etc_t,file,"write,append,create,unlink",4
gdm_t,etc_t,file,"write,append,create,unlink",4
iptables_t,etc_t,file,"write,append,create,unlink",4
kerberos_t,etc_t,file,"write,append,create,unlink",4
ldap_t,etc_t,file,"write,append,create,unlink",4
openvpn_t,etc_t,file,"write,append,create,unlink",4
avahi_t,avahi_port_t,udp_socket,"name_connect",5
avahi_t,avahi_port_t,udp_socket,"bind",5
bluetooth_t,bluetooth_port_t,udp_socket,"name_connect",5
bluetooth_t,bluetooth_port_t,udp_socket,"bind",5
cups_t,ipp_port_t,tcp_socket,"name_connect",5
cups_t,ipp_port_t,tcp_socket,"bind",5
dbus_t,dbus_port_t,tcp_socket,"name_connect",5
dbus_t,dbus_port_t,tcp_socket,"bind",5
dhcpc_t,bootpc_port_t,udp_socket,"name_connect",5
dhcpc_t,bootpc_port_t,udp_socket,"bind",5
avahi_t,avahi_port_t,udp_socket,bind,6
bluetooth_t,bluetooth_port_t,udp_socket,bind,6
cups_t,ipp_port_t,tcp_socket,bind,6
dbus_t,dbus_port_t,tcp_socket,bind,6
dhcpc_t,bootpc_port_t,udp_socket,bind,6
gdm_t,xdm_port_t,tcp_socket,bind,6
kerberos_t,kerberos_port_t,tcp_socket,bind,6
ldap_t,ldap_port_t,tcp_socket,bind,6
openvpn_t,openvpn_port_t,udp_socket,bind,6
pulseaudio_t,pulseaudio_port_t,tcp_socket,bind,6
avahi_t,cups_conf_t,file,"read,write",7
bluetooth_t,syslog_conf_t,file,"read,write",7
cups_t,bluetooth_conf_t,file,"read,write",7
dbus_t,openvpn_etc_t,file,"read,write",7
dhcpc_t,samba_etc_t,file,"read,write",7
gdm_t,snmpd_conf_t,file,"read,write",7
iptables_t,squid_conf_t,file,"read,write",7
kerberos_t,tcpd_var_run_t,file,"read,write",7
ldap_t,xdm_tmp_t,file,"read,write",7
openvpn_t,net_conf_t,file,"read,write",7
init_t,avahi_t,process,"transition",8
init_t,bluetooth_t,process,"transition",8
init_t,cups_t,process,"transition",8
init_t,dbus_t,process,"transition",8
init_t,dhcpc_t,process,"transition",8
avahi_t,var_t,file,"read,write",8
bluetooth_t,var_t,file,"read,write",8
cups_t,var_t,file,"read,write",8
dbus_t,var_t,file,"read,write",8
dhcpc_t,var_t,file,"read,write",8
avahi_t,tmpfs_t,filesystem,"mount",9
bluetooth_t,proc_fs_t,filesystem,"mount",9
cups_t,sysfs_t,filesystem,"mount",9
dbus_t,debugfs_t,filesystem,"mount",9
dhcpc_t,cgroup_fs_t,filesystem,"mount",9
gdm_t,mqueue_fs_t,filesystem,"mount",9
iptables_t,hugetlbfs_t,filesystem,"mount",9
kerberos_t,nfsd_fs_t,filesystem,"mount",9
ldap_t,tmpfs_t,filesystem,"mount",9
openvpn_t,proc_fs_t,filesystem,"mount",9
avahi_t,ftp_port_t,tcp_socket,"name_connect",10
bluetooth_t,http_port_t,tcp_socket,"name_connect",10
cups_t,mysql_port_t,tcp_socket,"name_connect",10
dbus_t,smtp_port_t,tcp_socket,"name_connect",10
dhcpc_t,ssh_port_t,tcp_socket,"name_connect",10
gdm_t,dns_port_t,udp_socket,"name_connect",10
iptables_t,ntp_port_t,udp_socket,"name_connect",10
kerberos_t,http_port_t,tcp_socket,"name_connect",10
