1,2
abrt_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
abrt_retrace_cache_t,"file_type, non_auth_file_type, non_security_file_type"
abrt_retrace_coredump_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_retrace_coredump_t,"abrt_domain, application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, pcmcia_typeattr_1, syslog_client_type"
abrt_retrace_spool_t,"file_type, non_auth_file_type, non_security_file_type, spoolfile"
abrt_retrace_worker_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_retrace_worker_t,"abrt_domain, application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, pcmcia_typeattr_1, syslog_client_type"
abrt_t,"abrt_domain, application_domain_type, can_dump_kernel, can_receive_kernel_messages, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, memory_raw_read, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, system_bus_type, systemprocess"
abrt_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
abrt_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
abrt_upload_watch_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_upload_watch_t,"abrt_domain, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, pcmcia_typeattr_1, syslog_client_type"
abrt_upload_watch_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
abrt_var_cache_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile, user_tmp_type"
abrt_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
abrt_var_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
abrt_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
abrt_watch_log_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
abrt_watch_log_t,"abrt_domain, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
accountsd_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
accountsd_t,"application_domain_type, can_read_shadow_passwords, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, system_bus_type, systemprocess"
accountsd_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
accountsd_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
acct_data_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
acct_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
acct_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
acct_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, systemprocess"
adjtime_t,"file_type, non_auth_file_type, non_security_file_type"
admin_crontab_t,"application_domain_type, corenet_unlabeled_type, crontab_domain, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, userdom_home_reader_type"
admin_crontab_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
admin_home_t,"file_type, mountpoint, non_auth_file_type, non_security_file_type, polymember, polyparent"
admin_passwd_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs3_callback_client_packet_t,"client_packet_type, packet_type"
afs3_callback_port_t,"defined_port_type, port_type, unreserved_port_type"
afs3_callback_server_packet_t,"packet_type, server_packet_type"
afs_bos_client_packet_t,"client_packet_type, packet_type"
afs_bos_port_t,"defined_port_type, port_type, unreserved_port_type"
afs_bos_server_packet_t,"packet_type, server_packet_type"
afs_bosserver_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_bosserver_t,"afs_domain, corenet_unlabeled_type, daemon, domain, netlabel_peer_type, pcmcia_typeattr_1"
afs_cache_t,"file_type, non_auth_file_type, non_security_file_type"
afs_config_t,"file_type, non_auth_file_type, non_security_file_type"
afs_dbdir_t,"file_type, non_auth_file_type, non_security_file_type"
afs_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_files_t,"file_type, non_auth_file_type, non_security_file_type"
afs_fs_client_packet_t,"client_packet_type, packet_type"
afs_fs_port_t,"defined_port_type, port_type, unreserved_port_type"
afs_fs_server_packet_t,"packet_type, server_packet_type"
afs_fsserver_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_fsserver_t,"afs_domain, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, pcmcia_typeattr_1, syslog_client_type"
afs_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
afs_ka_client_packet_t,"client_packet_type, packet_type"
afs_ka_db_t,"file_type, non_auth_file_type, non_security_file_type"
afs_ka_port_t,"defined_port_type, port_type, unreserved_port_type"
afs_ka_server_packet_t,"packet_type, server_packet_type"
afs_kaserver_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_kaserver_t,"afs_domain, corenet_unlabeled_type, domain, netlabel_peer_type, pcmcia_typeattr_1"
afs_logfile_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
afs_pt_client_packet_t,"client_packet_type, packet_type"
afs_pt_db_t,"file_type, non_auth_file_type, non_security_file_type"
afs_pt_port_t,"defined_port_type, port_type, unreserved_port_type"
afs_pt_server_packet_t,"packet_type, server_packet_type"
afs_ptserver_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_ptserver_t,"afs_domain, corenet_unlabeled_type, domain, netlabel_peer_type, pcmcia_typeattr_1"
afs_t,"afs_domain, corenet_unlabeled_type, daemon, domain, netlabel_peer_type, pcmcia_typeattr_1, syslog_client_type"
afs_vl_client_packet_t,"client_packet_type, packet_type"
afs_vl_db_t,"file_type, non_auth_file_type, non_security_file_type"
afs_vl_port_t,"defined_port_type, port_type, unreserved_port_type"
afs_vl_server_packet_t,"packet_type, server_packet_type"
afs_vlserver_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
afs_vlserver_t,"afs_domain, corenet_unlabeled_type, domain, netlabel_peer_type, pcmcia_typeattr_1"
agentx_client_packet_t,"client_packet_type, packet_type"
agentx_port_t,"defined_port_type, port_type, reserved_port_type, rpc_port_type"
agentx_server_packet_t,"packet_type, server_packet_type"
agp_device_t,device_node
aiccu_etc_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
aiccu_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
aiccu_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
aiccu_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, pcmcia_typeattr_1, syslog_client_type"
aiccu_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
aide_db_t,"file_type, non_auth_file_type, non_security_file_type"
aide_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
aide_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
aide_t,"application_domain_type, can_read_shadow_passwords, corenet_unlabeled_type, daemon, domain, pcmcia_typeattr_1, syslog_client_type"
ajaxterm_devpts_t,"device_node, ptynode"
ajaxterm_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
ajaxterm_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
ajaxterm_ssh_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
ajaxterm_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, pcmcia_typeattr_1"
ajaxterm_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
alsa_etc_rw_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
alsa_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
alsa_home_t,"file_type, non_auth_file_type, non_security_file_type, polymember, user_home_type"
alsa_lock_t,"file_type, lockfile, non_auth_file_type, non_security_file_type"
alsa_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, systemprocess"
alsa_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
alsa_tmpfs_t,"file_type, non_auth_file_type, non_security_file_type, tmpfsfile"
alsa_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
alsa_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
alsa_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
amanda_amandates_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_client_packet_t,"client_packet_type, packet_type"
amanda_config_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_data_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_dumpdates_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_exec_t,"application_exec_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
amanda_gnutarlists_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_inetd_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
amanda_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
amanda_port_t,"defined_port_type, port_type, unreserved_port_type"
amanda_recover_dir_t,"file_type, non_auth_file_type, non_security_file_type"
amanda_recover_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
amanda_recover_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1"
amanda_server_packet_t,"packet_type, server_packet_type"
amanda_t,"can_read_shadow_passwords, corenet_unlabeled_type, daemon, domain, fixed_disk_raw_read, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, scsi_generic_write, syslog_client_type"
amanda_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
amanda_tmpfs_t,"file_type, non_auth_file_type, non_security_file_type, tmpfsfile"
amanda_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
amanda_usr_lib_t,"file_type, non_auth_file_type, non_security_file_type, prelink_object"
amanda_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
amavisd_recv_client_packet_t,"client_packet_type, packet_type"
amavisd_recv_port_t,"defined_port_type, port_type, unreserved_port_type"
amavisd_recv_server_packet_t,"packet_type, server_packet_type"
amavisd_send_client_packet_t,"client_packet_type, packet_type"
amavisd_send_port_t,"defined_port_type, port_type, unreserved_port_type"
amavisd_send_server_packet_t,"packet_type, server_packet_type"
amqp_client_packet_t,"client_packet_type, packet_type"
amqp_port_t,"defined_port_type, port_type, unreserved_port_type"
amqp_server_packet_t,"packet_type, server_packet_type"
amtu_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
amtu_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
amtu_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, pcmcia_typeattr_1, systemprocess"
anaconda_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
anaconda_t,"can_change_object_identity, can_load_kernmodule, can_load_policy, can_read_shadow_passwords, can_relabelto_binary_policy, can_relabelto_shadow_passwords, can_setbool, can_setenforce, can_setsecparam, can_write_shadow_passwords, corenet_unconfined_type, corenet_unlabeled_type, dbusd_unconfined, devices_unconfined_type, domain, files_unconfined_type, filesystem_unconfined_type, initrc_transition_domain, kern_unconfined, named_filetrans_domain, process_uncond_exempt, selinux_unconfined_type, sepgsql_unconfined_type, storage_unconfined_type, syslog_client_type, unconfined_domain_type, userdom_filetrans_type, x_domain, xserver_unconfined_type"
anacron_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
anon_inodefs_t,"file_type, filesystem_type, mountpoint, non_auth_file_type, non_security_file_type"
anon_sftpd_t,"corenet_unlabeled_type, domain, pcmcia_typeattr_1"
antivirus_conf_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
antivirus_db_t,"file_type, non_auth_file_type, non_security_file_type"
antivirus_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
antivirus_home_t,"file_type, non_auth_file_type, non_security_file_type, polymember, user_home_type"
antivirus_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
antivirus_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
antivirus_t,"antivirus_domain, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
antivirus_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
antivirus_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
antivirus_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
aol_client_packet_t,"client_packet_type, packet_type"
aol_port_t,"defined_port_type, port_type, unreserved_port_type"
aol_server_packet_t,"packet_type, server_packet_type"
apc_client_packet_t,"client_packet_type, packet_type"
apc_port_t,"defined_port_type, port_type, unreserved_port_type"
apc_server_packet_t,"packet_type, server_packet_type"
apcupsd_cgi_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
apcupsd_cgi_htaccess_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
apcupsd_cgi_ra_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
apcupsd_cgi_rw_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
apcupsd_cgi_script_exec_t,"entry_type, exec_type, file_type, httpd_content_type, httpd_script_exec_type, non_auth_file_type, non_security_file_type"
apcupsd_cgi_script_t,"corenet_unlabeled_type, domain, httpd_script_type, kernel_system_state_reader, netlabel_peer_type, pcmcia_typeattr_1"
apcupsd_client_packet_t,"client_packet_type, packet_type"
apcupsd_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
apcupsd_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
apcupsd_lock_t,"file_type, lockfile, non_auth_file_type, non_security_file_type"
apcupsd_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
apcupsd_port_t,"defined_port_type, port_type, unreserved_port_type"
apcupsd_power_t,"file_type, non_auth_file_type, non_security_file_type"
apcupsd_server_packet_t,"packet_type, server_packet_type"
apcupsd_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
apcupsd_tmp_t,"file_type, mailcontent_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
apcupsd_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
apcupsd_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
apertus_ldp_client_packet_t,"client_packet_type, packet_type"
apertus_ldp_port_t,"defined_port_type, port_type, reserved_port_type, rpc_port_type"
apertus_ldp_server_packet_t,"packet_type, server_packet_type"
apm_bios_t,device_node
apm_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
apm_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, pcmcia_typeattr_1, syslog_client_type"
apmd_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
apmd_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
apmd_lock_t,"file_type, lockfile, non_auth_file_type, non_security_file_type"
apmd_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
apmd_t,"corenet_unlabeled_type, daemon, domain, initrc_transition_domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
apmd_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
apmd_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
apmd_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
apmd_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
appswitch_emp_client_packet_t,"client_packet_type, packet_type"
appswitch_emp_port_t,"defined_port_type, port_type, unreserved_port_type"
appswitch_emp_server_packet_t,"packet_type, server_packet_type"
arpwatch_data_t,"file_type, non_auth_file_type, non_security_file_type"
arpwatch_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
arpwatch_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
arpwatch_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
arpwatch_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
arpwatch_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
arpwatch_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
asterisk_client_packet_t,"client_packet_type, packet_type"
asterisk_etc_t,"configfile, file_type, non_auth_file_type, non_security_file_type"
asterisk_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
asterisk_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
asterisk_log_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
asterisk_port_t,"defined_port_type, port_type, unreserved_port_type"
asterisk_server_packet_t,"packet_type, server_packet_type"
asterisk_spool_t,"file_type, non_auth_file_type, non_security_file_type, spoolfile"
asterisk_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
asterisk_tmp_t,"file_type, mailcontent_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
asterisk_tmpfs_t,"file_type, non_auth_file_type, non_security_file_type, tmpfsfile"
asterisk_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
asterisk_var_run_t,"daemonrundir, file_type, non_auth_file_type, non_security_file_type, pidfile"
audio_home_t,"file_type, non_auth_file_type, non_security_file_type, polymember, user_home_type"
audisp_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
audisp_remote_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
audisp_remote_t,"corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
audisp_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, systemprocess"
audisp_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
audit_client_packet_t,"client_packet_type, packet_type"
audit_port_t,"defined_port_type, port_type, reserved_port_type"
audit_server_packet_t,"packet_type, server_packet_type"
audit_spool_t,"file_type, mountpoint, non_auth_file_type, non_security_file_type, security_file_type, spoolfile"
auditadm_screen_t,"application_domain_type, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, privfd, screen_domain, syslog_client_type, userdom_home_reader_type"
auditadm_su_t,"application_domain_type, can_change_object_identity, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, privfd, su_domain_type, syslog_client_type"
auditadm_sudo_t,"application_domain_type, can_change_object_identity, can_change_process_role, can_system_change, corenet_unlabeled_type, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, privfd, sudodomain, syslog_client_type, userdom_home_manager_type"
auditadm_sudo_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
auditadm_t,"confined_admindomain, corenet_unlabeled_type, domain, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, process_user_target, syslog_client_type, userdomain"
auditctl_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
auditctl_t,"application_domain_type, corenet_unlabeled_type, domain, pcmcia_typeattr_1, syslog_client_type, systemprocess"
auditd_etc_t,"file_type, non_auth_file_type, security_file_type"
auditd_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
auditd_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
auditd_log_t,"file_type, mountpoint, non_auth_file_type, security_file_type"
auditd_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
auditd_tmp_t,"file_type, non_auth_file_type, non_security_file_type, polymember, tmpfile"
auditd_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
auditd_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
auth_cache_t,"file_type, logfile, non_auth_file_type, non_security_file_type"
auth_client_packet_t,"client_packet_type, packet_type"
auth_home_t,"file_type, non_auth_file_type, non_security_file_type, polymember, user_home_type"
auth_port_t,"defined_port_type, port_type, reserved_port_type"
auth_server_packet_t,"packet_type, server_packet_type"
authconfig_exec_t,"application_exec_type, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
authconfig_t,"application_domain_type, can_change_object_identity, can_load_kernmodule, can_load_policy, can_read_shadow_passwords, can_relabelto_binary_policy, can_relabelto_shadow_passwords, can_setbool, can_setenforce, can_setsecparam, can_write_shadow_passwords, corenet_unconfined_type, corenet_unlabeled_type, dbusd_unconfined, devices_unconfined_type, domain, files_unconfined_type, filesystem_unconfined_type, initrc_transition_domain, kern_unconfined, named_filetrans_domain, process_uncond_exempt, selinux_unconfined_type, sepgsql_unconfined_type, storage_unconfined_type, unconfined_domain_type, userdom_filetrans_type, x_domain, xserver_unconfined_type"
authconfig_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
autofs_device_t,device_node
autofs_t,"file_type, filesystem_type, mountpoint, non_auth_file_type, non_security_file_type, noxattrfs"
automount_exec_t,"direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
automount_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
automount_keytab_t,"file_type, non_auth_file_type, non_security_file_type"
automount_lock_t,"file_type, lockfile, non_auth_file_type, non_security_file_type"
automount_t,"corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type"
automount_tmp_t,"file_type, mountpoint, non_auth_file_type, non_security_file_type, polymember, tmpfile"
automount_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
automount_var_run_t,"file_type, non_auth_file_type, non_security_file_type, pidfile"
avahi_exec_t,"application_exec_type, direct_init_entry, entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type, systemprocess_entry"
avahi_initrc_exec_t,"entry_type, exec_type, file_type, init_script_file_type, non_auth_file_type, non_security_file_type"
avahi_t,"application_domain_type, corenet_unlabeled_type, daemon, domain, kernel_system_state_reader, netlabel_peer_type, nsswitch_domain, pcmcia_typeattr_1, syslog_client_type, system_bus_type, systemprocess"
avahi_unit_file_t,"file_type, non_auth_file_type, non_security_file_type, systemd_unit_file_type"
avahi_var_lib_t,"file_type, non_auth_file_type, non_security_file_type"
avahi_var_run_t,"file_type, init_sock_file_type, non_auth_file_type, non_security_file_type, pidfile"
awstats_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
awstats_exec_t,"entry_type, exec_type, file_type, non_auth_file_type, non_security_file_type"
awstats_htaccess_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
awstats_ra_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
awstats_rw_content_t,"file_type, httpd_content_type, non_auth_file_type, non_security_file_type"
awstats_script_exec_t,"entry_type, exec_type, file_type, httpd_content_type, httpd_script_exec_type, non_auth_file_type, non_security_file_type"
